ds,Time,Month,taylor_swift,taylor_swift_lyrics,taylor_swift_album,taylor_swift_songs,taylor_swift_tour,speak_now,ts_1989,red,reputation,lover,drake,drake_lyrics,drake_album,drake_songs,drake_tour,views,scorpion,nwts,tml,take_care,all_ts_albums,all_drake_albums
2012-07-31,103,8,20.0,2.25,0.6500000000000001,0.9600000000000001,0.21000000000000002,2.769230769230769,0.2857142857142857,3.6,0.0,0.2168674698795181,22.144736842105264,3.3552631578947367,0.39256578947368426,0.6375,0.07046052631578947,0.0,0.0,0.0,0.72,2.0,6.871812524824573,2.7199999999999998
2012-08-31,104,9,23.0,2.9699999999999998,0.5000000000000001,1.05,0.21000000000000002,2.0769230769230766,0.2857142857142857,3.15,0.0,0.2168674698795181,21.473684210526315,3.019736842105263,0.39256578947368426,0.6207236842105264,0.07046052631578947,0.0,0.0,0.0,0.72,2.0,5.729504832516881,2.7199999999999998
2012-09-30,105,10,37.0,7.29,2.6500000000000004,2.22,0.9800000000000001,2.0769230769230766,0.2857142857142857,45.0,0.0,0.2168674698795181,18.789473684210527,2.851973684210526,0.39256578947368426,0.5536184210526316,0.07046052631578947,0.0,0.0,0.0,0.36,2.0,47.57950483251688,2.36
2012-10-31,106,11,32.0,5.22,1.1000000000000003,1.4700000000000002,1.1900000000000002,2.0769230769230766,0.2857142857142857,23.85,0.0,0.4337349397590362,18.789473684210527,2.5164473684210527,0.3271381578947369,0.5200657894736842,0.07046052631578947,0.0,0.0,0.0,0.36,2.0,26.6463723023964,2.36
2012-11-30,107,12,36.0,4.68,0.6500000000000001,1.2300000000000002,0.7000000000000001,2.423076923076923,0.2857142857142857,14.4,0.0,0.4337349397590362,18.11842105263158,2.348684210526316,0.39256578947368426,0.48651315789473687,0.07046052631578947,0.0,0.0,0.0,0.72,2.0,17.542526148550245,2.7199999999999998
2012-12-31,108,1,31.0,4.14,0.45000000000000007,1.08,0.49000000000000005,2.0769230769230766,0.2857142857142857,9.0,0.0,0.4337349397590362,17.44736842105263,2.348684210526316,0.39256578947368426,0.5032894736842105,0.07046052631578947,0.0,0.0,0.0,0.72,2.0,11.7963723023964,2.7199999999999998
2013-01-31,109,2,27.0,2.88,0.30000000000000004,0.93,0.42000000000000004,1.7307692307692308,0.2857142857142857,5.4,0.0,0.2168674698795181,25.5,2.851973684210526,0.6542763157894738,0.6542763157894737,0.09394736842105264,0.0,0.0,0.8571428571428572,0.72,2.0,7.633350986363035,3.5771428571428574
2013-02-28,110,3,24.0,2.4299999999999997,0.25000000000000006,0.8700000000000001,0.6300000000000001,1.7307692307692308,0.2857142857142857,5.8500000000000005,0.0,0.2168674698795181,22.81578947368421,2.5164473684210527,0.523421052631579,0.6710526315789473,0.07046052631578947,0.0,0.0,0.8571428571428572,0.72,2.0,8.083350986363035,3.5771428571428574
2013-03-31,111,4,18.0,1.98,0.20000000000000004,0.81,0.49000000000000005,1.3846153846153846,0.2857142857142857,4.5,0.0,0.2168674698795181,24.157894736842103,2.6842105263157894,0.523421052631579,0.6710526315789473,0.09394736842105264,0.0,0.0,0.8571428571428572,0.72,1.0,6.387197140209189,2.5771428571428574
2013-04-30,112,5,20.0,1.98,0.20000000000000004,0.7200000000000001,0.49000000000000005,1.3846153846153846,0.2857142857142857,4.5,0.0,0.2168674698795181,22.81578947368421,2.1809210526315788,0.45799342105263163,0.5536184210526316,0.07046052631578947,0.0,0.0,1.7142857142857144,0.36,1.0,6.387197140209189,3.0742857142857143
